rxn1,rxn2,rxn3,rxn4,rxn5,rxn6,rxn7,rxn8,rxn9,rxn10,rxn11,rxn12,rxn13,rxn14,rxn15,rxn16,rxn17,rxn18,rxn19,rxn20,rxn21,rxn22,rxn23,rxn24,rxn25,rxn26,rxn27,rxn28,rxn29,rxn30,rxn31,rxn32,rxn33,rxn34,y
0,0,1,1,-1,0,0,0,-1,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50
0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,-0.084,-0.061,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,7.065
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,-0.041,-0.034,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,12.61
0,0,0,0,0,0,0,0,0,1,-1,0,0,0,0,-0.08,-0.039,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0.235
3,0,0,0,1,0,0,0,0,0,0,0,0,2.5,1.5,-8.68,-9.2,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-71
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,-53
0,0,0,2,1,0,1,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,3357
0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,-0.026,-0.024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2,0,0,-8.04
0,0,0,0,1,0,0,0,0,0,0,0,0,0,-1,0.004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,-53.8
-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.452,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-5.6
0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,-0.087,-0.045,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2.825
0,0,-1,0,0,0,0,1,1,0,1,0,0,0,0,0.008,-0.048,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,-1,0,-0.08
0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,-0.056,-0.072,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,-52.52
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,1,-1,-1,0,0,0,0,0,0,0,0,0.445,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-14
2,-1,0,0,0,0,0,0,0,0,0,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,1433
0,0,0,2,1,1,0,0,-1,0,0,0,0,-1,0,0.639,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,-1370.8
0,0,0,0,0,0,0,1,-1,1,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,22
0,0,0,0,0,0,0,0,0,0,0,0,0,-0.5,-0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,-1,0,0,-171
0,0,0,-1,0,1,0,0,0,0,1,0,0,0,0,-0.427,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-50.6
2,-1,-1,-1,0,0,1,0,0,0,0,0,0,0,0,0.209,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-34.8
0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,-0.096,-0.126,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,60.19
